source,fixture_id,market,selection,prediction_timestamp,kickoff_timestamp,dixon_coles_probability,market_fair_probability,edge,raw_ev,odds,league_id,home_ft_count,away_ft_count,used_default_lambda,home_lambda,away_lambda,feature_quality,hours_to_kickoff,old_confidence,outcome,daily_pick_id
current_bot,1554420,match_winner,Away,2026-07-16 06:08:50.661774,2026-07-16 17:00:00,0.2382016141234117,0.11491977076118724,0.12328184336222446,0.2148282320293997,5.1,848,1,1,False,,,0.35,10.852593951666666,0.6206712511931556,lose,93
current_bot,1554415,match_winner,Away,2026-07-16 07:24:21.020880,2026-07-16 18:45:00,0.23821754617069815,0.11496529089629141,0.12325225527440674,0.3340182585559095,5.6,848,6,3,False,,,0.35,11.344160866666668,0.6207622914633639,win,94
current_bot,1554423,match_winner,Away,2026-07-16 07:24:21.020880,2026-07-16 16:00:00,0.2409994910942475,0.12291370496357525,0.11808578613067226,0.2531973536900871,5.2,848,6,4,False,,,0.35,8.594160866666666,0.6366591195979316,lose,95
current_bot,1554427,match_winner,Away,2026-07-16 07:24:21.020880,2026-07-16 18:45:00,0.23816714475985817,0.11482128686531999,0.12334585789453818,0.1908357237992908,5.0,848,4,1,False,,,0.35,11.344160866666668,0.6204742834014211,lose,96
current_bot,1554432,over_under,Under 2.5,2026-07-16 07:24:21.020880,2026-07-16 16:30:00,0.5202663124183903,0.22979035695267494,0.29047595546571536,0.1705992029413781,2.25,848,16,3,False,,,0.35,9.094160866666666,0.1062278293362604,win,97
current_bot,1554422,match_winner,Away,2026-07-16 07:24:21.020880,2026-07-16 17:30:00,0.24709774304451576,0.14033728196434175,0.10676046108017401,0.12429473085254661,4.55,848,6,2,False,,,0.35,10.094160866666668,0.6715062735994646,win,98
current_bot,1554417,over_under,Under 2.5,2026-07-16 07:24:21.020880,2026-07-16 17:00:00,0.5221573062803934,0.23519319655839793,0.28696410972199543,0.12263820850284568,2.15,848,3,1,False,,,0.35,9.594160866666668,0.11703350854770644,win,99
current_bot,1494700,match_winner,Draw,2026-07-17 05:08:05.433138,2026-07-17 17:15:00,0.2168994775412445,0.06361915786843178,0.15328031967281272,0.8436455591005783,8.5,103,32,9,False,,,0.35,12.115157461666666,0.5283682471605762,lose,100
current_bot,1492140,over_under,Under 2.5,2026-07-17 05:08:05.433138,2026-07-17 22:30:00,0.5507192342712985,0.21164545760575856,0.33907377666553995,0.2941902005375516,2.35,71,10,10,False,,,0.35,17.365157461666666,0.55,win,101
botposlednji1,1494707,over_under,Under 2.5,2026-07-18 05:32:18.943732,2026-07-18 16:00:00,0.35159952186409144,0.1944412097614937,0.15715831210259773,0.012606622968583281,2.88,103,9,10,False,,,0.35,10.46140451888889,0.38344901984465807,lose,74
